ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number,close,return_7d
ACMR,1680062,2025-11-13,0,15000.0,33.77,506550.00000000006,1,0,0,See remarks,D,0001140361-25-042345,33.810001373291016,-0.10292816646656713
ACMR,1680062,2025-12-02,0,100000.0,33.2,3320000.0000000005,1,0,0,See remarks,D,0001140361-25-044360,33.310001373291016,0.1633142720633732
ACMR,1680062,2025-12-03,0,68800.0,33.05,2273840.0,1,1,0,See Remarks,D,0001140361-25-044559,32.959999084472656,0.2578883566779078
ACMR,1680062,2025-12-03,0,1200.0,33.56,40272.0,1,1,0,See Remarks,D,0001140361-25-044559,32.959999084472656,0.2578883566779078
ACMR,1680062,2025-12-03,0,19700.0,33.05,651085.0,1,0,0,See remarks,D,0001140361-25-044360,32.959999084472656,0.2578883566779078
ACMR,1680062,2025-12-03,0,300.0,33.57,10071.0,1,0,0,See remarks,D,0001140361-25-044360,32.959999084472656,0.2578883566779078
ACMR,1680062,2025-12-04,0,7754.0,33.5,259759.0,1,0,0,See Remarks,D,0001140361-25-044909,33.849998474121094,0.15657321390456652
ACMR,1680062,2025-12-04,0,996.0,34.26,34122.96,1,0,0,See Remarks,D,0001140361-25-044909,33.849998474121094,0.15657321390456652
ACMR,1680062,2025-12-04,0,40183.0,34.42,1383098.86,1,1,0,See Remarks,D,0001140361-25-044559,33.849998474121094,0.15657321390456652
ACMR,1680062,2025-12-04,0,19817.0,33.52,664265.8400000001,1,1,0,See Remarks,D,0001140361-25-044559,33.849998474121094,0.15657321390456652
ACMR,1680062,2025-12-08,0,22500.0,35.45,797625.0000000001,1,0,0,See Remarks,D,0001140361-25-044909,35.45000076293945,0.07165023584943729
ACN,1467373,2025-10-22,0,1484.0,249.57,370361.88,1,0,0,Co-CEO Asia Pacific,D,0002030833-25-000004,248.61000061035156,0.00422349482796346
ACN,1467373,2025-10-22,0,494.0,248.37,122694.78,1,0,0,Co-CEO Asia Pacific,D,0002030833-25-000004,248.61000061035156,0.00422349482796346
ACN,1467373,2025-10-22,0,522.0,250.23,130620.06,1,0,0,Co-CEO Asia Pacific,D,0002030833-25-000004,248.61000061035156,0.00422349482796346
ACN,1467373,2025-10-22,0,87.0,250.87,21825.69,1,1,0,Chair and CEO,D,0001487630-25-000008,248.61000061035156,0.00422349482796346
ACN,1467373,2025-10-22,0,3914.0,250.13,979008.82,1,1,0,Chair and CEO,D,0001487630-25-000008,248.61000061035156,0.00422349482796346
ACN,1467373,2025-10-22,0,3781.0,249.41,943019.21,1,1,0,Chair and CEO,D,0001487630-25-000008,248.61000061035156,0.00422349482796346
ACN,1467373,2025-10-22,0,1218.0,248.2,302307.6,1,1,0,Chair and CEO,D,0001487630-25-000008,248.61000061035156,0.00422349482796346
ACN,1467373,2025-10-22,0,6902.0,250.01,1725569.02,1,0,0,Chief Strategy & Services Ofcr,D,0001911109-25-000006,248.61000061035156,0.00422349482796346
ACN,1467373,2025-10-29,0,1761.0,254.84,448773.24,1,1,0,Chair and CEO,D,0001487630-25-000009,253.14999389648438,-0.05194546400764103
ACN,1467373,2025-10-29,0,2104.0,253.92,534247.6799999999,1,1,0,Chair and CEO,D,0001487630-25-000009,253.14999389648438,-0.05194546400764103
ACN,1467373,2025-10-29,0,3806.0,252.92,962613.5199999999,1,1,0,Chair and CEO,D,0001487630-25-000009,253.14999389648438,-0.05194546400764103
ACN,1467373,2025-10-29,0,1329.0,252.05,334974.45,1,1,0,Chair and CEO,D,0001487630-25-000009,253.14999389648438,-0.05194546400764103
ACN,1467373,2025-11-05,0,1079.0,247.23,266761.17,1,1,0,Chair and CEO,D,0001487630-25-000010,243.3800048828125,0.009820031809101255
ACN,1467373,2025-11-05,0,165.0,248.83,41056.950000000004,1,1,0,Chair and CEO,D,0001487630-25-000010,243.3800048828125,0.009820031809101255
ACN,1467373,2025-11-05,0,4656.0,246.42,1147331.52,1,1,0,Chair and CEO,D,0001487630-25-000010,243.3800048828125,0.009820031809101255
ACN,1467373,2025-11-05,0,17.0,243.38,4137.46,1,1,0,Chair and CEO,D,0001487630-25-000010,243.3800048828125,0.009820031809101255
ACNB,715579,2025-11-20,1,396.0,40.0,15840.0,0,1,0,,D,0001628280-25-053520,46.45240597744567,0.03697531172731062
ACNB,715579,2025-12-11,0,5000.0,51.0,255000.0,0,1,0,,D,0001628280-25-056690,50.9900016784668,0.009217442450180198
ACNB,715579,2025-12-15,0,2773.26,52.27,144958.30020000003,0,0,0,,D,0001628280-25-057561,52.02000045776367,-0.042099165848472044
ACNB,715579,2025-12-15,1,4.75,52.65,250.0875,0,1,0,,D,0001628280-25-057560,52.02000045776367,-0.042099165848472044
ACP-PA,1503290,2025-09-30,1,2200.0,5.79,12738.0,0,1,0,,D,0001104659-25-095989,21.055063247680664,-0.021595973923041033
ACR-PD,1332551,2025-09-30,0,2500.0,22.68,56700.0,0,0,0,,I,0001104659-25-096216,21.61052550975362,-0.025854065580616366
